,title,issues,price,deskripsi,size,img,status
0,PUMBRE,Morbid Wound,Rp 199.000,Black polyester folding umbrella with white ink printing.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-8-500x500.jpg']", in ready
1,GRANCE,Morbid Wound,Rp 439.000,"Black polyester windbreaker jacekts, with white ink printing.","['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-8-500x500.jpg']", in ready
2,SOLEM,Morbid Wound,Rp 449.000,"Black polyester cagoule jacket with adjustable drawstring hood, hidden button closure & pocket, elasticated cuffs, and rubber patch.","['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-8-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-9-500x500.jpg']", in ready
3,VEZZEL,Morbid Wound,Rp 399.000,Black polyester bomber jacket with black snap buttons and leather patch.,"['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-8-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-9-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-10-500x500.jpg']", in ready
4,MEARAL,Morbid Wound,Rp 169.000,Silver chrome metal earings.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/04/mearal-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/mearal-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/mearal-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/mearal-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/mearal-5-500x500.jpg']",Out of Stock
5,STRAMA,Stranough,Rp 269.000,"Black webbing adjustable guitar strap with black genuine leather for strap pin, leather patch and white ink debossed screen print. Free 2 pcs guitar pick.",no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/04/stranal-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/stranal-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/stranal-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/stranal-4-500x500.jpg']", in ready
6,MATOUGH,Stranough,Rp 199.000,"Black 20s cotton short sleeve T-shirts, tubular fit, seamless double needle 2cm collar, taped neck and shoulders, satin & cotton label,
double needle sleeve and bottom hem, multicolor plastisol ink screen print.",no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/04/matough-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/matough-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/matough-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/matough-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/matough-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/matough-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/0-ts-ss-size-chart-2023-4-500x500.jpg']",Out of Stock
7,DISTRA,Stranough,Rp 199.000,"White 20s cotton short sleeve T-shirts, tubular fit, seamless double needle 2cm collar, taped neck and shoulders, satin & cotton label,
double needle sleeve and bottom hem, black plastisol ink screen print.","['M', 'L', 'XL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/04/distra-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/distra-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/distra-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/distra-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/distra-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/distra-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/0-ts-ss-size-chart-2023-4-500x500.jpg']", in ready
8,ILLUMINATE,Stranough,Rp 4.399.000,"Black Mahogany (body & neck) 24″ short scale mini guitar with customized pearloid bat inlay, Stranough Pyrogenic pickup, solid keystone tuning machine, tune matic bridge with brass rod and nylon string turning. Equipped with earphone output and aux-in audio input. Free strap with 2 guitar picks, audio earphone cases and guitar case.",no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-8-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-9-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-10-500x500.jpg']",Out of Stock
9,HELLPARK TS,Mtrnl Merch,Rp 189.000,"Black 20s cotton short sleeve T-shirts, tubular fit, seamless double needle 2cm collar, taped neck and shoulders, satin & cotton label, double needle sleeve and bottom hem, multi color plastisol ink screen print.","['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/04/hellpark-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/hellpark-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/hellpark-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/hellpark-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/0-ts-ss-size-chart-2023-4-500x500.jpg']", in ready
